nodes_per_instance,p,exponent,instance_connectivity,simpsons_index,reachability
equal,0.00,1.50,0.10000,0.00000,0.09752
equal,0.00,1.50,0.10000,0.00000,0.09751
equal,0.00,1.50,0.10000,0.00000,0.09750
equal,0.00,1.50,0.10000,0.00000,0.09755
equal,0.00,1.50,0.10000,0.00000,0.09760
equal,0.00,1.88,0.10000,0.00000,0.09549
equal,0.00,1.88,0.10000,0.00000,0.09795
equal,0.00,1.88,0.10000,0.00000,0.09763
equal,0.00,1.88,0.10000,0.00000,0.09747
equal,0.00,1.88,0.10000,0.00000,0.09753
equal,0.00,2.25,0.10000,0.00000,0.09533
equal,0.00,2.25,0.10000,0.00000,0.09112
equal,0.00,2.25,0.10000,0.00000,0.09428
equal,0.00,2.25,0.10000,0.00000,0.09343
equal,0.00,2.25,0.10000,0.00000,0.08748
equal,0.00,2.62,0.10000,0.00000,0.08853
equal,0.00,2.62,0.10000,0.00000,0.08738
equal,0.00,2.62,0.10000,0.00000,0.08965
equal,0.00,2.62,0.10000,0.00000,0.08807
equal,0.00,2.62,0.10000,0.00000,0.09039
equal,0.00,3.00,0.10000,0.00000,0.08639
equal,0.00,3.00,0.10000,0.00000,0.07207
equal,0.00,3.00,0.10000,0.00000,0.09143
equal,0.00,3.00,0.10000,0.00000,0.07813
equal,0.00,3.00,0.10000,0.00000,0.07972
equal,0.05,1.50,0.12675,0.07598,0.99740
equal,0.05,1.50,0.11454,0.04596,0.99745
equal,0.05,1.50,0.12798,0.07564,0.99741
equal,0.05,1.50,0.11671,0.04038,0.80885
equal,0.05,1.50,0.12526,0.06762,0.99742
equal,0.05,1.88,0.11374,0.04136,0.99725
equal,0.05,1.88,0.11842,0.05577,0.99708
equal,0.05,1.88,0.11732,0.05531,0.98610
equal,0.05,1.88,0.11288,0.03842,0.98636
equal,0.05,1.88,0.12306,0.07044,0.97519
equal,0.05,2.25,0.11722,0.05615,0.98497
equal,0.05,2.25,0.11291,0.04191,0.98506
equal,0.05,2.25,0.11310,0.04301,0.95011
equal,0.05,2.25,0.11030,0.02927,0.92579
equal,0.05,2.25,0.10952,0.03051,0.80614
equal,0.05,2.62,0.11129,0.04116,0.78482
equal,0.05,2.62,0.11551,0.05317,0.90454
equal,0.05,2.62,0.11677,0.05827,0.94198
equal,0.05,2.62,0.11389,0.04194,0.87197
equal,0.05,2.62,0.11022,0.03773,0.91831
equal,0.05,3.00,0.11013,0.03993,0.49543
